satellite_code,satellite_name,model,auc_pr
cs2,CryoSat-2,EMA,0.3188683075496178
cs2,CryoSat-2,XGBoost,0.42940336994523626
cs2,CryoSat-2,ARIMA,0.4352034538719495
cs2,CryoSat-2,Autoencoder,0.19049122540962138
cs2,CryoSat-2,LSTM,0.07050086506938932
fy2f,Fengyun-2F,EMA,0.3041141161859452
fy2f,Fengyun-2F,XGBoost,0.34452666887364186
fy2f,Fengyun-2F,ARIMA,0.316598598271377
fy2f,Fengyun-2F,Autoencoder,0.2558935641422354
fy2f,Fengyun-2F,LSTM,0.3121209310270291
s3a,Sentinel-3A,EMA,0.5969063828569261
s3a,Sentinel-3A,XGBoost,0.7183453523581784
s3a,Sentinel-3A,ARIMA,0.7235738446127901
s3a,Sentinel-3A,Autoencoder,0.37352231680773196
s3a,Sentinel-3A,LSTM,0.7075593611025996
