Lag,Importance
1,0.2894023
2,0.013456118
3,0.009764492
4,0.024348604
5,0.021819929
6,0.0017763587
7,0.013005828
8,0.0
9,0.0
10,0.014935857
11,0.0
12,0.0
13,0.0
14,0.007911758
15,0.008039422
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0032485377
23,0.0
24,0.0
25,0.0036209465
26,0.007923317
27,0.0
28,0.00544654
29,0.0
30,0.01297333
31,0.0070343306
32,0.0027972565
33,0.0
34,0.00599022
35,0.0071949996
36,0.026069876
37,0.009358864
38,0.012025306
39,0.029997183
40,0.0
41,0.0
42,0.0040451633
43,0.028007925
44,0.0
45,0.0024842534
46,0.0
47,0.0
48,0.0
49,0.0
50,0.012211822
51,0.0
52,0.0
53,0.0036699444
54,0.0015599324
55,0.0
56,0.0
57,0.0
58,0.003322686
59,0.0018341378
60,0.018650953
61,0.0
62,0.003084829
63,0.0
64,0.0017105893
65,0.017978262
66,0.0
67,0.0
68,0.0004913403
69,0.0
70,0.01317856
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.012015183
79,0.0
80,0.0
81,0.0018384132
82,0.0
83,0.003437373
84,0.011807469
85,0.005544624
86,0.0053781047
87,0.010199571
88,0.012728548
89,0.001771892
90,0.0056320042
91,0.010030213
92,0.0
93,0.0
94,0.0021799474
95,0.0
96,0.021107811
97,0.0
98,0.0068312595
99,0.0042213635
100,0.004964883
101,0.009481047
102,0.00630075
103,0.008526196
104,0.0
105,0.011037595
106,0.01321041
107,0.0027316029
108,0.0
109,0.003929482
110,0.0
111,0.0
112,0.005143783
113,0.006416966
114,0.005271325
115,0.010694155
116,0.002366107
117,0.037255947
118,0.011635729
119,0.0023172984
120,0.0
121,0.0520011
122,0.0041162022
123,0.021962168
124,0.004371866
125,0.011169833
